carat,cut,color,clarity,depth,table,x,y,z,price
1.21,Ideal,H,VVS2,61.3,57.0,6.92,6.87,4.23,8131
0.31,Ideal,E,VS2,62.0,56.0,4.38,4.36,2.71,756
1.21,Ideal,E,VS1,62.4,57.0,6.75,6.83,4.24,10351
0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72,2795
0.79,Ideal,I,VVS2,61.7,56.0,5.94,5.95,3.67,4092
0.33,Ideal,E,VS2,61.1,55.0,4.47,4.51,2.74,738
1.0,Premium,F,VS1,59.2,60.0,6.53,6.48,3.85,7056
0.9,Very Good,E,SI1,60.1,58.0,6.25,6.29,3.77,4034
1.06,Ideal,F,VS2,61.4,56.0,6.56,6.61,4.04,7641
0.7,Ideal,F,SI1,60.7,57.0,5.78,5.82,3.52,2671
0.52,Ideal,G,SI2,61.5,56.0,5.15,5.19,3.18,1170
1.0,Very Good,H,SI2,63.0,61.0,6.31,6.35,3.99,4015
1.09,Premium,E,SI1,62.5,57.0,6.61,6.55,4.11,5640
0.54,Ideal,D,SI1,62.1,56.0,5.25,5.21,3.25,1786
0.3,Premium,E,SI1,60.0,60.0,4.38,4.36,2.62,675
0.41,Premium,I,VVS2,62.9,58.0,4.74,4.71,2.97,1061
0.32,Very Good,I,VS1,59.8,60.0,4.44,4.46,2.66,505
0.81,Premium,D,SI2,59.2,57.0,6.15,6.05,3.61,2809
0.42,Ideal,G,VVS1,60.6,56.0,4.86,4.88,2.95,1179
0.79,Premium,D,SI1,61.4,59.0,5.89,5.96,3.64,3112
0.25,Ideal,G,VVS2,62.1,57.0,4.01,4.07,2.5,525
2.51,Premium,J,SI1,59.6,60.0,8.84,8.79,5.25,17452
1.13,Premium,G,VVS2,61.4,58.0,6.73,6.68,4.12,8019
1.01,Premium,I,VS2,62.5,58.0,6.39,6.44,4.01,4592
0.3,Premium,E,VS2,60.0,60.0,4.36,4.4,2.63,658
2.03,Very Good,E,SI2,58.8,59.0,8.23,8.28,4.85,18115
0.32,Premium,H,VVS1,62.5,58.0,4.33,4.37,2.72,730
1.05,Very Good,F,VVS2,61.3,59.0,6.48,6.56,4.0,8537
1.04,Good,G,VS1,63.8,57.0,6.42,6.37,4.08,6360
0.4,Premium,J,VS1,63.0,58.0,4.7,4.66,2.95,810
1.29,Good,D,SI2,57.9,59.0,7.22,7.18,4.17,6140
0.41,Good,H,VS2,63.4,58.0,4.77,4.66,2.99,755
2.0,Good,J,SI2,61.5,61.0,7.97,8.06,4.93,11036
0.3,Ideal,E,VS2,61.7,55.0,4.3,4.32,2.66,658
0.9,Ideal,G,SI2,61.5,57.0,6.07,6.19,3.77,3722
0.9,Premium,H,VS1,61.5,59.0,6.19,6.13,3.79,4064
0.34,Ideal,I,SI1,61.9,57.0,4.48,4.44,2.76,589
0.24,Ideal,H,IF,62.5,54.0,3.97,4.0,2.49,504
0.72,Very Good,E,VS2,63.0,57.0,5.69,5.73,3.6,2923
0.5,Very Good,F,VVS2,60.4,61.0,5.12,5.14,3.1,1778
1.01,Good,G,VS1,63.8,57.0,6.35,6.38,4.06,6759
0.43,Ideal,H,SI1,62.5,57.0,4.79,4.84,3.01,716
0.51,Very Good,H,VS1,63.4,57.0,5.09,5.06,3.22,1437
0.95,Premium,F,SI1,62.9,59.0,6.24,6.13,3.89,4682
1.18,Very Good,G,SI2,62.4,56.0,6.8,6.83,4.25,5562
0.39,Ideal,G,VVS1,58.8,62.0,4.77,4.79,2.81,1004
0.34,Very Good,H,VVS2,63.1,57.0,4.41,4.49,2.81,674
1.31,Premium,G,VS2,60.3,59.0,7.08,7.12,4.28,8818
0.75,Ideal,H,SI1,62.1,57.0,5.82,5.78,3.6,2165
1.0,Good,F,VS2,63.7,59.0,6.32,6.27,4.01,6037
1.51,Fair,I,VS2,64.8,60.0,7.18,7.1,4.63,8879
0.38,Ideal,G,VVS2,62.2,54.3,4.63,4.66,2.89,929
0.32,Ideal,G,VVS2,61.8,55.0,4.43,4.41,2.73,936
0.51,Ideal,F,VVS1,61.7,57.0,5.12,5.15,3.17,2163
0.32,Ideal,E,VVS2,61.6,55.0,4.42,4.45,2.73,790
0.3,Ideal,F,VVS1,62.2,56.0,4.28,4.3,2.67,814
1.01,Very Good,H,VS2,60.2,60.0,6.46,6.5,3.9,5897
0.54,Ideal,D,VS2,61.8,56.0,5.24,5.21,3.23,1993
3.0,Good,J,SI2,59.3,64.0,9.32,9.19,5.5,14918
0.52,Premium,G,VVS2,61.2,59.0,5.16,5.14,3.15,2012
0.32,Ideal,G,VVS2,62.6,57.0,4.34,4.38,2.73,730
1.06,Premium,F,SI1,61.9,58.0,6.53,6.58,4.06,4774
0.53,Very Good,G,VS2,60.1,59.0,5.22,5.26,3.15,1449
1.2,Good,I,SI1,63.5,60.7,6.71,6.75,4.27,5280
0.51,Premium,G,SI2,62.5,56.0,5.12,5.09,3.19,1026
0.32,Premium,J,VS1,61.7,58.0,4.4,4.38,2.71,540
0.72,Very Good,E,VVS1,61.2,57.0,5.73,5.78,3.53,4847
2.16,Very Good,F,SI2,62.4,59.0,8.28,8.33,5.18,18678
0.32,Ideal,G,IF,60.5,57.0,4.42,4.44,2.68,954
0.52,Ideal,E,SI1,62.4,58.0,5.16,5.13,3.21,1656
2.2,Premium,H,SI2,61.5,58.0,8.44,8.38,5.18,12747
1.0,Premium,E,SI2,61.0,62.0,6.41,6.34,3.89,4200
0.41,Ideal,H,SI1,61.7,56.0,4.76,4.8,2.95,1056
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,3763
0.3,Premium,H,SI1,60.9,59.0,4.31,4.29,2.62,554
0.53,Ideal,H,SI1,62.3,57.0,5.2,5.24,3.25,1197
1.1,Ideal,E,SI2,61.6,56.0,6.64,6.61,4.08,5174
1.12,Very Good,D,SI2,59.3,59.0,6.76,6.8,4.02,5243
1.21,Premium,E,SI1,62.6,58.0,6.79,6.82,4.26,7203
0.64,Ideal,H,VVS1,61.1,55.0,5.58,5.61,3.43,2084
0.35,Ideal,I,SI1,61.3,54.0,4.51,4.56,2.78,472
1.64,Very Good,J,SI1,62.6,59.0,7.45,7.51,4.68,7739
1.0,Very Good,D,VVS2,59.9,61.0,6.42,6.5,3.87,9740
0.58,Ideal,H,VS2,62.4,58.0,5.3,5.34,3.32,1600
1.52,Premium,H,SI1,62.5,58.0,7.34,7.28,4.57,10330
0.71,Very Good,D,SI1,61.1,56.0,5.74,5.78,3.52,2724
0.39,Ideal,I,SI1,62.1,55.0,4.66,4.71,2.91,609
1.04,Very Good,H,SI2,62.4,58.0,6.4,6.49,4.02,3546
0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,1125
0.5,Very Good,G,VS1,62.9,55.0,5.06,5.09,3.19,1592
0.3,Premium,E,VVS2,61.8,58.0,4.26,4.29,2.64,789
0.71,Good,I,VS1,63.6,56.0,5.7,5.65,3.61,2327
0.42,Ideal,E,VS1,61.6,57.0,4.84,4.8,2.97,1181
1.49,Premium,G,VS1,60.8,62.0,7.41,7.36,4.49,12900
1.17,Very Good,H,SI1,59.6,62.0,6.88,6.82,4.08,6336
0.5,Very Good,G,VVS1,60.9,57.0,5.1,5.15,3.12,1843
0.51,Ideal,D,VS1,62.5,57.0,5.08,5.13,3.19,1779
0.31,Premium,F,VS2,61.7,58.0,4.38,4.34,2.69,802
1.01,Ideal,E,VS2,61.9,57.0,6.43,6.37,3.96,7013
1.82,Ideal,F,SI1,61.8,58.0,7.8,7.84,4.83,15802
0.39,Ideal,F,VVS2,61.9,54.8,4.68,4.69,2.9,1036
0.71,Premium,F,SI2,62.3,60.0,5.7,5.67,3.54,2169
0.71,Ideal,F,VS1,61.9,56.0,5.7,5.74,3.54,2907
1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,5083
1.62,Ideal,G,SI1,62.2,56.0,7.48,7.53,4.67,12295
1.1,Premium,G,VS2,59.6,60.0,6.72,6.7,4.0,6121
0.3,Premium,H,SI1,62.9,58.0,4.28,4.24,2.68,554
0.9,Fair,D,SI1,63.8,61.0,6.07,5.99,3.85,4252
0.72,Ideal,E,VS1,62.1,54.0,5.74,5.76,3.57,3690
1.02,Very Good,G,VS1,62.6,58.0,6.36,6.46,4.01,6301
0.42,Ideal,F,SI1,60.6,57.0,4.84,4.9,2.95,773
0.7,Ideal,D,SI1,62.0,54.0,5.73,5.76,3.56,2726
2.0,Ideal,I,VS1,62.0,57.0,8.04,7.99,4.97,17889
0.53,Premium,D,VS1,62.4,61.0,5.25,5.14,3.24,1940
0.42,Ideal,E,SI1,61.5,55.0,4.9,4.82,2.99,992
1.09,Ideal,E,SI2,62.7,55.9,6.52,6.58,4.11,6852
1.01,Premium,D,VS2,62.2,61.0,6.43,6.37,3.98,7032
1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,9343
0.75,Premium,F,SI2,60.9,58.0,5.88,5.91,3.59,2274
0.91,Very Good,H,VS2,63.1,56.0,6.2,6.13,3.89,3567
0.9,Premium,G,SI1,61.3,60.0,6.17,6.14,3.77,3774
1.5,Very Good,D,SI1,62.7,59.0,7.21,7.24,4.53,11442
0.72,Very Good,J,SI1,63.0,58.0,5.67,5.7,3.58,1989
1.51,Premium,J,VS2,62.3,59.0,7.36,7.3,4.57,6342
0.58,Very Good,D,VS2,60.2,57.0,5.41,5.45,3.27,1977
0.75,Very Good,J,SI1,63.1,57.0,5.79,5.74,3.64,1958
0.31,Ideal,D,VVS2,61.2,56.0,4.35,4.37,2.67,804
1.52,Premium,J,VS1,62.2,59.0,7.32,7.38,4.57,8426
1.5,Fair,H,I1,66.6,54.0,7.05,7.01,4.68,4939
0.42,Ideal,G,VS2,62.2,56.0,4.82,4.8,2.99,1087
1.68,Ideal,I,VS2,62.1,57.0,7.6,7.54,4.7,10800
1.75,Ideal,I,VS2,61.0,56.0,7.82,7.75,4.75,12238
0.32,Very Good,H,SI1,62.2,56.0,4.36,4.39,2.72,449
0.5,Premium,G,VS1,60.3,60.0,5.1,5.08,3.07,1629
0.54,Good,H,SI1,63.3,57.0,5.15,5.22,3.28,1154
0.9,Very Good,H,VS2,62.0,57.0,6.1,6.16,3.8,4155
2.01,Good,H,SI2,64.0,51.0,8.08,8.01,5.15,15888
1.08,Premium,F,SI1,61.0,59.0,6.67,6.57,4.04,5487
0.93,Ideal,H,SI1,62.0,55.0,6.32,6.29,3.91,3844
0.71,Good,F,VS1,61.8,57.0,5.73,5.76,3.55,3701
0.27,Very Good,E,VS2,61.3,58.0,4.13,4.16,2.54,470
0.51,Ideal,I,VS2,62.1,55.0,5.1,5.13,3.17,1277
1.51,Premium,E,SI1,62.8,59.0,7.3,7.26,4.57,11565
0.51,Very Good,G,VVS2,60.9,56.0,5.17,5.21,3.16,1768
0.76,Ideal,F,VS2,61.9,57.0,5.83,5.86,3.62,3648
1.01,Premium,I,VS2,62.5,58.0,6.44,6.39,4.01,4676
0.3,Ideal,H,IF,62.5,56.0,4.31,4.33,2.7,764
0.91,Ideal,G,SI2,62.7,57.0,6.15,6.19,3.87,3557
0.71,Good,I,VS2,64.0,59.0,5.55,5.61,3.57,1748
0.93,Good,G,SI2,64.5,56.3,6.08,6.14,3.94,3425
0.71,Premium,F,VS1,62.2,58.0,5.72,5.66,3.54,2832
1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,4903
0.31,Ideal,D,VS2,62.1,56.0,4.34,4.35,2.7,734
0.41,Ideal,F,VVS2,61.0,56.0,4.82,4.78,2.93,1192
0.7,Ideal,G,VS1,61.4,55.0,5.74,5.69,3.51,2573
0.72,Very Good,G,SI1,62.5,60.0,5.69,5.73,3.57,2488
